"Antimicrobial","Animal","Species","AMCSpeciesAnimal","PlantEffect","NMD","Susceptible","Resistant","2.5%","25%","50%","75%","97.5%","LI","LC","M","UC","UI","Plant"
"AMC","Calves","E.coli","AMC.Calves.E.coli","AMC.E.coli.ME075","ME075",20,0,0,0,0,1,2,0,0,0,0.05,0.1,"Calves ME075"
"AMC","Calves","E.coli","AMC.Calves.E.coli","AMC.E.coli.ME078","ME078",3,0,0,0,0,0,1,0,0,0,0,0.333333333333333,"Calves ME078"
"AMC","Calves","E.coli","AMC.Calves.E.coli","AMC.E.coli.ME080","ME080",16,0,0,0,0,0,2,0,0,0,0,0.125,"Calves ME080"
"AMC","Calves","E.coli","AMC.Calves.E.coli","AMC.E.coli.ME086","ME086",12,0,0,0,0,0,1,0,0,0,0,0.0833333333333333,"Calves ME086"
"AMC","Calves","E.coli","AMC.Calves.E.coli","AMC.E.coli.ME100","ME100",19,1,0,0,0,1,2,0,0,0,0.05,0.1,"Calves ME100"
"AMC","Calves","E.coli","AMC.Calves.E.coli","AMC.E.coli.ME102","ME102",27,0,0,0,0,1,2,0,0,0,0.037037037037037,0.0740740740740741,"Calves ME102"
"AMC","Calves","E.coli","AMC.Calves.E.coli","AMC.E.coli.ME104","ME104",11,0,0,0,0,0,1,0,0,0,0,0.0909090909090909,"Calves ME104"
"AMC","Calves","E.coli","AMC.Calves.E.coli","AMC.E.coli.ME112","ME112",7,0,0,0,0,0,1,0,0,0,0,0.142857142857143,"Calves ME112"
"AMC","Calves","E.coli","AMC.Calves.E.coli","AMC.E.coli.ME132","ME132",1,0,0,0,0,0,0,0,0,0,0,0,"Calves ME132"
"AMC","Calves","E.coli","AMC.Calves.E.coli","AMC.E.coli.ME137","ME137",1,0,0,0,0,0,0,0,0,0,0,0,"Calves ME137"
"AMC","Calves","E.coli","AMC.Calves.E.coli","AMC.E.coli.ME500","ME500",8,0,0,0,0,0,1,0,0,0,0,0.125,"Calves ME500"
"AMC","Calves","E.coli","AMC.Calves.E.coli","AMC.E.coli.SPM51","SPM51",9,0,0,0,0,0,1,0,0,0,0,0.111111111111111,"Calves SPM51"
"AMC","Pigs","E.coli","AMC.Pigs.E.coli","AMC.E.coli.AB015","AB015",57,1,0,0,0,1,2,0,0,0,0.0172413793103448,0.0344827586206897,"Pigs AB015"
"AMC","Pigs","E.coli","AMC.Pigs.E.coli","AMC.E.coli.AB018","AB018",35,0,0,0,0,0,2,0,0,0,0,0.0571428571428571,"Pigs AB018"
"AMC","Pigs","E.coli","AMC.Pigs.E.coli","AMC.E.coli.AB032","AB032",46,0,0,0,0,1,2,0,0,0,0.0217391304347826,0.0434782608695652,"Pigs AB032"
"AMC","Pigs","E.coli","AMC.Pigs.E.coli","AMC.E.coli.AB078","AB078",22,0,0,0,0,0,1,0,0,0,0,0.0454545454545455,"Pigs AB078"
"AMC","Pigs","E.coli","AMC.Pigs.E.coli","AMC.E.coli.AB081","AB081",10,0,0,0,0,0,1,0,0,0,0,0.1,"Pigs AB081"
"AMC","Pigs","E.coli","AMC.Pigs.E.coli","AMC.E.coli.ME069","ME069",33,0,0,0,0,0,2,0,0,0,0,0.0606060606060606,"Pigs ME069"
"AMC","Pigs","E.coli","AMC.Pigs.E.coli","AMC.E.coli.ME077","ME077",3,0,0,0,0,0,0,0,0,0,0,0,"Pigs ME077"
"AMC","Pigs","E.coli","AMC.Pigs.E.coli","AMC.E.coli.ME103","ME103",57,1,0,0,0,1,3,0,0,0,0.0172413793103448,0.0517241379310345,"Pigs ME103"
"AMC","Pigs","E.coli","AMC.Pigs.E.coli","AMC.E.coli.ME131","ME131",38,0,0,0,0,0,2,0,0,0,0,0.0526315789473684,"Pigs ME131"
"AMC","Poultry","E.coli","AMC.Poultry.E.coli","AMC.E.coli.NMD002","NMD002",11,0,0,0,0,0,0,0,0,0,0,0,"Poultry NMD002"
"AMC","Poultry","E.coli","AMC.Poultry.E.coli","AMC.E.coli.NMD008","NMD008",88,0,0,0,0,0,1,0,0,0,0,0.0113636363636364,"Poultry NMD008"
"AMC","Poultry","E.coli","AMC.Poultry.E.coli","AMC.E.coli.NMD012","NMD012",50,0,0,0,0,0,1,0,0,0,0,0.02,"Poultry NMD012"
"AMC","Poultry","E.coli","AMC.Poultry.E.coli","AMC.E.coli.NMD013","NMD013",56,0,0,0,0,0,1,0,0,0,0,0.0178571428571429,"Poultry NMD013"
"AMC","Poultry","E.coli","AMC.Poultry.E.coli","AMC.E.coli.NMD014","NMD014",14,0,0,0,0,0,0,0,0,0,0,0,"Poultry NMD014"
"AMC","Poultry","E.coli","AMC.Poultry.E.coli","AMC.E.coli.NMD016","NMD016",44,0,0,0,0,0,1,0,0,0,0,0.0227272727272727,"Poultry NMD016"
"AMC","Poultry","E.coli","AMC.Poultry.E.coli","AMC.E.coli.NMD019","NMD019",41,0,0,0,0,0,1,0,0,0,0,0.024390243902439,"Poultry NMD019"
"AMC","Poultry","E.coli","AMC.Poultry.E.coli","AMC.E.coli.NMD028","NMD028",1,0,0,0,0,0,0,0,0,0,0,0,"Poultry NMD028"
"AMC","Poultry","E.coli","AMC.Poultry.E.coli","AMC.E.coli.NMD029","NMD029",1,0,0,0,0,0,0,0,0,0,0,0,"Poultry NMD029"
"AMP","Calves","E.coli","AMP.Calves.E.coli","AMP.E.coli.ME016","ME016",10,5,1,3,4,5,8,0.0666666666666667,0.2,0.266666666666667,0.333333333333333,0.533333333333333,"Calves ME016"
"AMP","Calves","E.coli","AMP.Calves.E.coli","AMP.E.coli.ME018","ME018",8,5,0,2,3,5,8,0,0.153846153846154,0.230769230769231,0.384615384615385,0.615384615384615,"Calves ME018"
"AMP","Calves","E.coli","AMP.Calves.E.coli","AMP.E.coli.ME021","ME021",7,2,0,1,2,3,5,0,0.111111111111111,0.222222222222222,0.333333333333333,0.555555555555556,"Calves ME021"
"AMP","Calves","E.coli","AMP.Calves.E.coli","AMP.E.coli.ME023","ME023",13,1,0,1,3,4,7,0,0.0714285714285714,0.214285714285714,0.285714285714286,0.5,"Calves ME023"
"AMP","Calves","E.coli","AMP.Calves.E.coli","AMP.E.coli.ME034","ME034",2,0,0,0,0,1,2,0,0,0,0.5,1,"Calves ME034"
"AMP","Calves","E.coli","AMP.Calves.E.coli","AMP.E.coli.ME039","ME039",16,2,0,2,3,5,8,0,0.111111111111111,0.166666666666667,0.277777777777778,0.444444444444444,"Calves ME039"
"AMP","Calves","E.coli","AMP.Calves.E.coli","AMP.E.coli.ME040","ME040",7,4,0,2,3,4,6,0,0.181818181818182,0.272727272727273,0.363636363636364,0.545454545454545,"Calves ME040"
"AMP","Calves","E.coli","AMP.Calves.E.coli","AMP.E.coli.ME043","ME043",16,4,1,3,4,6,9,0.05,0.15,0.2,0.3,0.45,"Calves ME043"
"AMP","Calves","E.coli","AMP.Calves.E.coli","AMP.E.coli.ME047","ME047",7,5,0,2,3,5,7,0,0.166666666666667,0.25,0.416666666666667,0.583333333333333,"Calves ME047"
"AMP","Calves","E.coli","AMP.Calves.E.coli","AMP.E.coli.ME056","ME056",14,4,1,3,4,5,9,0.0555555555555556,0.166666666666667,0.222222222222222,0.277777777777778,0.5,"Calves ME056"
"AMP","Calves","E.coli","AMP.Calves.E.coli","AMP.E.coli.ME058","ME058",17,7,2,4,6,8,11,0.0833333333333333,0.166666666666667,0.25,0.333333333333333,0.458333333333333,"Calves ME058"
"AMP","Calves","E.coli","AMP.Calves.E.coli","AMP.E.coli.ME066","ME066",6,3,0,1,2,3,6,0,0.111111111111111,0.222222222222222,0.333333333333333,0.666666666666667,"Calves ME066"
"AMP","Calves","E.coli","AMP.Calves.E.coli","AMP.E.coli.ME075","ME075",16,4,1,3,4,6,9,0.05,0.15,0.2,0.3,0.45,"Calves ME075"
"AMP","Calves","E.coli","AMP.Calves.E.coli","AMP.E.coli.ME078","ME078",2,1,0,0,1,1,2,0,0,0.333333333333333,0.333333333333333,0.666666666666667,"Calves ME078"
"AMP","Calves","E.coli","AMP.Calves.E.coli","AMP.E.coli.ME080","ME080",13,3,0,2,3,5,8,0,0.125,0.1875,0.3125,0.5,"Calves ME080"
"AMP","Calves","E.coli","AMP.Calves.E.coli","AMP.E.coli.ME086","ME086",7,5,0,2,3,5,7,0,0.166666666666667,0.25,0.416666666666667,0.583333333333333,"Calves ME086"
"AMP","Calves","E.coli","AMP.Calves.E.coli","AMP.E.coli.ME100","ME100",17,3,1,3,4,5,9,0.05,0.15,0.2,0.25,0.45,"Calves ME100"
"AMP","Calves","E.coli","AMP.Calves.E.coli","AMP.E.coli.ME102","ME102",21,6,2,4,6,8,12,0.0740740740740741,0.148148148148148,0.222222222222222,0.296296296296296,0.444444444444444,"Calves ME102"
"AMP","Calves","E.coli","AMP.Calves.E.coli","AMP.E.coli.ME104","ME104",11,0,0,1,2,3,5,0,0.0909090909090909,0.181818181818182,0.272727272727273,0.454545454545455,"Calves ME104"
"AMP","Calves","E.coli","AMP.Calves.E.coli","AMP.E.coli.ME112","ME112",4,3,0,1,2,3,5,0,0.142857142857143,0.285714285714286,0.428571428571429,0.714285714285714,"Calves ME112"
"AMP","Calves","E.coli","AMP.Calves.E.coli","AMP.E.coli.ME132","ME132",0,1,0,0,0,1,1,0,0,0,1,1,"Calves ME132"
"AMP","Calves","E.coli","AMP.Calves.E.coli","AMP.E.coli.ME137","ME137",1,0,0,0,0,0,1,0,0,0,0,1,"Calves ME137"
"AMP","Calves","E.coli","AMP.Calves.E.coli","AMP.E.coli.ME500","ME500",5,3,0,1,2,3,5,0,0.125,0.25,0.375,0.625,"Calves ME500"
"AMP","Calves","E.coli","AMP.Calves.E.coli","AMP.E.coli.SPM51","SPM51",9,0,0,1,2,2,4,0,0.111111111111111,0.222222222222222,0.222222222222222,0.444444444444444,"Calves SPM51"
"AMP","Calves","Enterococci","AMP.Calves.Enterococci","AMP.Enterococci.ME016","ME016",15,0,0,0,0,0,1,0,0,0,0,0.0666666666666667,"Calves ME016"
"AMP","Calves","Enterococci","AMP.Calves.Enterococci","AMP.Enterococci.ME018","ME018",10,0,0,0,0,0,0,0,0,0,0,0,"Calves ME018"
"AMP","Calves","Enterococci","AMP.Calves.Enterococci","AMP.Enterococci.ME021","ME021",8,0,0,0,0,0,0,0,0,0,0,0,"Calves ME021"
"AMP","Calves","Enterococci","AMP.Calves.Enterococci","AMP.Enterococci.ME023","ME023",15,0,0,0,0,0,0,0,0,0,0,0,"Calves ME023"
"AMP","Calves","Enterococci","AMP.Calves.Enterococci","AMP.Enterococci.ME034","ME034",2,0,0,0,0,0,0,0,0,0,0,0,"Calves ME034"
"AMP","Calves","Enterococci","AMP.Calves.Enterococci","AMP.Enterococci.ME039","ME039",11,0,0,0,0,0,0,0,0,0,0,0,"Calves ME039"
"AMP","Calves","Enterococci","AMP.Calves.Enterococci","AMP.Enterococci.ME040","ME040",9,0,0,0,0,0,0,0,0,0,0,0,"Calves ME040"
"AMP","Calves","Enterococci","AMP.Calves.Enterococci","AMP.Enterococci.ME043","ME043",16,0,0,0,0,0,0,0,0,0,0,0,"Calves ME043"
"AMP","Calves","Enterococci","AMP.Calves.Enterococci","AMP.Enterococci.ME047","ME047",12,0,0,0,0,0,0,0,0,0,0,0,"Calves ME047"
"AMP","Calves","Enterococci","AMP.Calves.Enterococci","AMP.Enterococci.ME056","ME056",14,0,0,0,0,0,0,0,0,0,0,0,"Calves ME056"
"AMP","Calves","Enterococci","AMP.Calves.Enterococci","AMP.Enterococci.ME058","ME058",25,0,0,0,0,0,1,0,0,0,0,0.04,"Calves ME058"
"AMP","Calves","Enterococci","AMP.Calves.Enterococci","AMP.Enterococci.ME066","ME066",6,0,0,0,0,0,0,0,0,0,0,0,"Calves ME066"
"AMP","Calves","Enterococci","AMP.Calves.Enterococci","AMP.Enterococci.ME075","ME075",14,0,0,0,0,0,0,0,0,0,0,0,"Calves ME075"
"AMP","Calves","Enterococci","AMP.Calves.Enterococci","AMP.Enterococci.ME078","ME078",1,0,0,0,0,0,0,0,0,0,0,0,"Calves ME078"
"AMP","Calves","Enterococci","AMP.Calves.Enterococci","AMP.Enterococci.ME080","ME080",11,0,0,0,0,0,0,0,0,0,0,0,"Calves ME080"
"AMP","Calves","Enterococci","AMP.Calves.Enterococci","AMP.Enterococci.ME086","ME086",25,0,0,0,0,0,1,0,0,0,0,0.04,"Calves ME086"
"AMP","Calves","Enterococci","AMP.Calves.Enterococci","AMP.Enterococci.ME100","ME100",16,0,0,0,0,0,0,0,0,0,0,0,"Calves ME100"
"AMP","Calves","Enterococci","AMP.Calves.Enterococci","AMP.Enterococci.ME102","ME102",18,0,0,0,0,0,1,0,0,0,0,0.0555555555555556,"Calves ME102"
"AMP","Calves","Enterococci","AMP.Calves.Enterococci","AMP.Enterococci.ME104","ME104",16,0,0,0,0,0,1,0,0,0,0,0.0625,"Calves ME104"
"AMP","Calves","Enterococci","AMP.Calves.Enterococci","AMP.Enterococci.ME112","ME112",7,0,0,0,0,0,0,0,0,0,0,0,"Calves ME112"
"AMP","Calves","Enterococci","AMP.Calves.Enterococci","AMP.Enterococci.ME132","ME132",3,0,0,0,0,0,0,0,0,0,0,0,"Calves ME132"
"AMP","Calves","Enterococci","AMP.Calves.Enterococci","AMP.Enterococci.ME137","ME137",2,0,0,0,0,0,0,0,0,0,0,0,"Calves ME137"
"AMP","Calves","Enterococci","AMP.Calves.Enterococci","AMP.Enterococci.ME500","ME500",10,0,0,0,0,0,0,0,0,0,0,0,"Calves ME500"
"AMP","Calves","Enterococci","AMP.Calves.Enterococci","AMP.Enterococci.SPM51","SPM51",11,0,0,0,0,0,0,0,0,0,0,0,"Calves SPM51"
"AMP","Pigs","E.coli","AMP.Pigs.E.coli","AMP.E.coli.AB015","AB015",55,3,0,2,4,6,10,0,0.0344827586206897,0.0689655172413793,0.103448275862069,0.172413793103448,"Pigs AB015"
"AMP","Pigs","E.coli","AMP.Pigs.E.coli","AMP.E.coli.AB018","AB018",31,4,0,2,3,5,8,0,0.0571428571428571,0.0857142857142857,0.142857142857143,0.228571428571429,"Pigs AB018"
"AMP","Pigs","E.coli","AMP.Pigs.E.coli","AMP.E.coli.AB032","AB032",42,4,0,2,4,5,9,0,0.0434782608695652,0.0869565217391304,0.108695652173913,0.195652173913043,"Pigs AB032"
"AMP","Pigs","E.coli","AMP.Pigs.E.coli","AMP.E.coli.AB078","AB078",19,3,0,1,2,3,6,0,0.0454545454545455,0.0909090909090909,0.136363636363636,0.272727272727273,"Pigs AB078"
"AMP","Pigs","E.coli","AMP.Pigs.E.coli","AMP.E.coli.AB081","AB081",9,1,0,0,1,1,3,0,0,0.1,0.1,0.3,"Pigs AB081"
"AMP","Pigs","E.coli","AMP.Pigs.E.coli","AMP.E.coli.ME069","ME069",32,1,0,1,2,3,6,0,0.0303030303030303,0.0606060606060606,0.0909090909090909,0.181818181818182,"Pigs ME069"
"AMP","Pigs","E.coli","AMP.Pigs.E.coli","AMP.E.coli.ME077","ME077",3,0,0,0,0,0,2,0,0,0,0,0.666666666666667,"Pigs ME077"
"AMP","Pigs","E.coli","AMP.Pigs.E.coli","AMP.E.coli.ME103","ME103",52,6,1,3.75,5,7,12,0.0172413793103448,0.0646551724137931,0.0862068965517241,0.120689655172414,0.206896551724138,"Pigs ME103"
"AMP","Pigs","E.coli","AMP.Pigs.E.coli","AMP.E.coli.ME131","ME131",33,5,0,2,4,5,9,0,0.0526315789473684,0.105263157894737,0.131578947368421,0.236842105263158,"Pigs ME131"
"AMP","Pigs","Enterococci","AMP.Pigs.Enterococci","AMP.Enterococci.AB015","AB015",31,0,0,0,0,0,1,0,0,0,0,0.032258064516129,"Pigs AB015"
"AMP","Pigs","Enterococci","AMP.Pigs.Enterococci","AMP.Enterococci.AB018","AB018",58,0,0,0,0,0,1,0,0,0,0,0.0172413793103448,"Pigs AB018"
"AMP","Pigs","Enterococci","AMP.Pigs.Enterococci","AMP.Enterococci.AB032","AB032",25,0,0,0,0,0,1,0,0,0,0,0.04,"Pigs AB032"
"AMP","Pigs","Enterococci","AMP.Pigs.Enterococci","AMP.Enterococci.AB078","AB078",44,0,0,0,0,0,1,0,0,0,0,0.0227272727272727,"Pigs AB078"
"AMP","Pigs","Enterococci","AMP.Pigs.Enterococci","AMP.Enterococci.AB081","AB081",7,0,0,0,0,0,0,0,0,0,0,0,"Pigs AB081"
"AMP","Pigs","Enterococci","AMP.Pigs.Enterococci","AMP.Enterococci.ME069","ME069",20,0,0,0,0,0,1,0,0,0,0,0.05,"Pigs ME069"
"AMP","Pigs","Enterococci","AMP.Pigs.Enterococci","AMP.Enterococci.ME077","ME077",3,0,0,0,0,0,0,0,0,0,0,0,"Pigs ME077"
"AMP","Pigs","Enterococci","AMP.Pigs.Enterococci","AMP.Enterococci.ME103","ME103",56,0,0,0,0,0,1,0,0,0,0,0.0178571428571429,"Pigs ME103"
"AMP","Pigs","Enterococci","AMP.Pigs.Enterococci","AMP.Enterococci.ME131","ME131",41,0,0,0,0,0,1,0,0,0,0,0.024390243902439,"Pigs ME131"
"AMP","Poultry","E.coli","AMP.Poultry.E.coli","AMP.E.coli.NMD002","NMD002",10,1,0,0,0,1,2,0,0,0,0.0909090909090909,0.181818181818182,"Poultry NMD002"
"AMP","Poultry","E.coli","AMP.Poultry.E.coli","AMP.E.coli.NMD008","NMD008",86,2,0,2,3,5,8,0,0.0227272727272727,0.0340909090909091,0.0568181818181818,0.0909090909090909,"Poultry NMD008"
"AMP","Poultry","E.coli","AMP.Poultry.E.coli","AMP.E.coli.NMD012","NMD012",47,3,0,1,2,4,7,0,0.02,0.04,0.08,0.14,"Poultry NMD012"
"AMP","Poultry","E.coli","AMP.Poultry.E.coli","AMP.E.coli.NMD013","NMD013",52,4,0,2,3,4,8,0,0.0357142857142857,0.0535714285714286,0.0714285714285714,0.142857142857143,"Poultry NMD013"
"AMP","Poultry","E.coli","AMP.Poultry.E.coli","AMP.E.coli.NMD014","NMD014",13,1,0,0,1,1,3,0,0,0.0714285714285714,0.0714285714285714,0.214285714285714,"Poultry NMD014"
"AMP","Poultry","E.coli","AMP.Poultry.E.coli","AMP.E.coli.NMD016","NMD016",42,2,0,1,2,3,6,0,0.0227272727272727,0.0454545454545455,0.0681818181818182,0.136363636363636,"Poultry NMD016"
"AMP","Poultry","E.coli","AMP.Poultry.E.coli","AMP.E.coli.NMD019","NMD019",39,2,0,1,2,3,6,0,0.024390243902439,0.0487804878048781,0.0731707317073171,0.146341463414634,"Poultry NMD019"
"AMP","Poultry","E.coli","AMP.Poultry.E.coli","AMP.E.coli.NMD028","NMD028",1,0,0,0,0,0,1,0,0,0,0,1,"Poultry NMD028"
"AMP","Poultry","E.coli","AMP.Poultry.E.coli","AMP.E.coli.NMD029","NMD029",1,0,0,0,0,0,1,0,0,0,0,1,"Poultry NMD029"
"AMP","Poultry","Enterococci","AMP.Poultry.Enterococci","AMP.Enterococci.NMD002","NMD002",9,0,0,0,0,0,0,0,0,0,0,0,"Poultry NMD002"
"AMP","Poultry","Enterococci","AMP.Poultry.Enterococci","AMP.Enterococci.NMD008","NMD008",88,0,0,0,0,0,1,0,0,0,0,0.0113636363636364,"Poultry NMD008"
"AMP","Poultry","Enterococci","AMP.Poultry.Enterococci","AMP.Enterococci.NMD012","NMD012",53,0,0,0,0,0,1,0,0,0,0,0.0188679245283019,"Poultry NMD012"
"AMP","Poultry","Enterococci","AMP.Poultry.Enterococci","AMP.Enterococci.NMD013","NMD013",55,0,0,0,0,0,1,0,0,0,0,0.0181818181818182,"Poultry NMD013"
"AMP","Poultry","Enterococci","AMP.Poultry.Enterococci","AMP.Enterococci.NMD014","NMD014",11,0,0,0,0,0,0,0,0,0,0,0,"Poultry NMD014"
"AMP","Poultry","Enterococci","AMP.Poultry.Enterococci","AMP.Enterococci.NMD016","NMD016",44,0,0,0,0,0,1,0,0,0,0,0.0227272727272727,"Poultry NMD016"
"AMP","Poultry","Enterococci","AMP.Poultry.Enterococci","AMP.Enterococci.NMD019","NMD019",35,0,0,0,0,0,1,0,0,0,0,0.0285714285714286,"Poultry NMD019"
"AMP","Poultry","Enterococci","AMP.Poultry.Enterococci","AMP.Enterococci.NMD025","NMD025",1,0,0,0,0,0,0,0,0,0,0,0,"Poultry NMD025"
"AMP","Poultry","Enterococci","AMP.Poultry.Enterococci","AMP.Enterococci.NMD028","NMD028",1,0,0,0,0,0,0,0,0,0,0,0,"Poultry NMD028"
"AMP","Poultry","Enterococci","AMP.Poultry.Enterococci","AMP.Enterococci.NMD029","NMD029",1,0,0,0,0,0,0,0,0,0,0,0,"Poultry NMD029"
"APR","Calves","E.coli","APR.Calves.E.coli","APR.E.coli.ME016","ME016",15,0,0,0,0,0,1,0,0,0,0,0.0666666666666667,"Calves ME016"
"APR","Calves","E.coli","APR.Calves.E.coli","APR.E.coli.ME018","ME018",13,0,0,0,0,0,0,0,0,0,0,0,"Calves ME018"
"APR","Calves","E.coli","APR.Calves.E.coli","APR.E.coli.ME021","ME021",9,0,0,0,0,0,0,0,0,0,0,0,"Calves ME021"
"APR","Calves","E.coli","APR.Calves.E.coli","APR.E.coli.ME023","ME023",14,0,0,0,0,0,0,0,0,0,0,0,"Calves ME023"
"APR","Calves","E.coli","APR.Calves.E.coli","APR.E.coli.ME034","ME034",2,0,0,0,0,0,0,0,0,0,0,0,"Calves ME034"
"APR","Calves","E.coli","APR.Calves.E.coli","APR.E.coli.ME039","ME039",18,0,0,0,0,0,1,0,0,0,0,0.0555555555555556,"Calves ME039"
"APR","Calves","E.coli","APR.Calves.E.coli","APR.E.coli.ME040","ME040",11,0,0,0,0,0,0,0,0,0,0,0,"Calves ME040"
"APR","Calves","E.coli","APR.Calves.E.coli","APR.E.coli.ME043","ME043",20,0,0,0,0,0,1,0,0,0,0,0.05,"Calves ME043"
"APR","Calves","E.coli","APR.Calves.E.coli","APR.E.coli.ME047","ME047",12,0,0,0,0,0,0,0,0,0,0,0,"Calves ME047"
"APR","Calves","E.coli","APR.Calves.E.coli","APR.E.coli.ME056","ME056",18,0,0,0,0,0,1,0,0,0,0,0.0555555555555556,"Calves ME056"
"APR","Calves","E.coli","APR.Calves.E.coli","APR.E.coli.ME058","ME058",24,0,0,0,0,0,1,0,0,0,0,0.0416666666666667,"Calves ME058"
"APR","Calves","E.coli","APR.Calves.E.coli","APR.E.coli.ME066","ME066",9,0,0,0,0,0,0,0,0,0,0,0,"Calves ME066"
"APR","Calves","E.coli","APR.Calves.E.coli","APR.E.coli.ME075","ME075",20,0,0,0,0,0,1,0,0,0,0,0.05,"Calves ME075"
"APR","Calves","E.coli","APR.Calves.E.coli","APR.E.coli.ME078","ME078",3,0,0,0,0,0,0,0,0,0,0,0,"Calves ME078"
"APR","Calves","E.coli","APR.Calves.E.coli","APR.E.coli.ME080","ME080",16,0,0,0,0,0,1,0,0,0,0,0.0625,"Calves ME080"
"APR","Calves","E.coli","APR.Calves.E.coli","APR.E.coli.ME086","ME086",12,0,0,0,0,0,0,0,0,0,0,0,"Calves ME086"
"APR","Calves","E.coli","APR.Calves.E.coli","APR.E.coli.ME100","ME100",20,0,0,0,0,0,1,0,0,0,0,0.05,"Calves ME100"
"APR","Calves","E.coli","APR.Calves.E.coli","APR.E.coli.ME102","ME102",27,0,0,0,0,0,1,0,0,0,0,0.037037037037037,"Calves ME102"
"APR","Calves","E.coli","APR.Calves.E.coli","APR.E.coli.ME104","ME104",11,0,0,0,0,0,0,0,0,0,0,0,"Calves ME104"
"APR","Calves","E.coli","APR.Calves.E.coli","APR.E.coli.ME112","ME112",7,0,0,0,0,0,0,0,0,0,0,0,"Calves ME112"
"APR","Calves","E.coli","APR.Calves.E.coli","APR.E.coli.ME132","ME132",1,0,0,0,0,0,0,0,0,0,0,0,"Calves ME132"
"APR","Calves","E.coli","APR.Calves.E.coli","APR.E.coli.ME137","ME137",1,0,0,0,0,0,0,0,0,0,0,0,"Calves ME137"
"APR","Calves","E.coli","APR.Calves.E.coli","APR.E.coli.ME500","ME500",8,0,0,0,0,0,0,0,0,0,0,0,"Calves ME500"
"APR","Calves","E.coli","APR.Calves.E.coli","APR.E.coli.SPM51","SPM51",9,0,0,0,0,0,0,0,0,0,0,0,"Calves SPM51"
"APR","Pigs","E.coli","APR.Pigs.E.coli","APR.E.coli.AB015","AB015",58,0,0,0,0,0,2,0,0,0,0,0.0344827586206897,"Pigs AB015"
"APR","Pigs","E.coli","APR.Pigs.E.coli","APR.E.coli.AB018","AB018",35,0,0,0,0,0,1,0,0,0,0,0.0285714285714286,"Pigs AB018"
"APR","Pigs","E.coli","APR.Pigs.E.coli","APR.E.coli.AB032","AB032",46,0,0,0,0,0,2,0,0,0,0,0.0434782608695652,"Pigs AB032"
"APR","Pigs","E.coli","APR.Pigs.E.coli","APR.E.coli.AB078","AB078",22,0,0,0,0,0,1,0,0,0,0,0.0454545454545455,"Pigs AB078"
"APR","Pigs","E.coli","APR.Pigs.E.coli","APR.E.coli.AB081","AB081",10,0,0,0,0,0,1,0,0,0,0,0.1,"Pigs AB081"
"APR","Pigs","E.coli","APR.Pigs.E.coli","APR.E.coli.ME069","ME069",33,0,0,0,0,0,1,0,0,0,0,0.0303030303030303,"Pigs ME069"
"APR","Pigs","E.coli","APR.Pigs.E.coli","APR.E.coli.ME077","ME077",3,0,0,0,0,0,0,0,0,0,0,0,"Pigs ME077"
"APR","Pigs","E.coli","APR.Pigs.E.coli","APR.E.coli.ME103","ME103",58,0,0,0,0,0,2,0,0,0,0,0.0344827586206897,"Pigs ME103"
